Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,Listing Gain
2010-01-06,D B Corp Limited,384.22,68.52,26.17,3.42,39.54,212.0,17.92
2010-02-03,Infinite Computer Solutions Limited,189.8,48.44,106.02,11.08,43.22,165.0,8.09
2010-02-08,Jubilant Foodworks Limited,328.72,59.39,51.95,3.79,31.11,145.0,11.45
2010-02-19,NTPC Limited,8478.75,2.18,0.43,0.16,1.2,201.0,1.49
2010-02-24,Valor Estates Limited,1500.0,4.47,4.25,0.37,2.95,468.0,-8.12
2010-02-24,Emmbi Industries Limited,38.96,0.43,5.55,0.46,1.2,45.0,1.11
2010-03-18,United Bank of India,324.98,47.08,39.15,9.8,33.38,66.0,16.67
2010-03-29,NMDC Limited,9967.3,2.28,0.22,0.22,1.25,300.0,-1.43
2010-04-06,Persistent Systems Limited,168.01,144.43,107.73,21.69,93.6,310.0,29.03
2010-05-10,Talwalkars Better Value Fitness Limited,77.44,35.43,51.48,8.43,28.39,128.0,7.81
2010-05-13,Satchmo Holdings Limited,405.0,2.54,0.22,0.16,1.16,54.0,-7.41
2010-05-20,SJVN Limited,1062.51,9.03,3.39,3.12,6.64,26.0,7.69
2010-07-16,Technofab Engineers Limited,71.66,4.28,48.85,10.03,12.78,240.0,10.42
2010-07-21,Hindustan Media Ventures Limited,270.0,8.98,3.39,1.0,5.43,166.0,2.41
2010-08-16,Bharat Financial Inclusion Limited,1628.78,20.38,18.26,2.81,13.69,985.0,5.18
2010-08-18,Bajaj Consumer Care Limited,297.0,20.19,53.49,6.62,19.29,660.0,10.61
2010-10-06,CP Capital Ltd,115.0,47.45,101.93,31.74,47.39,310.0,48.71
2010-10-12,Cantabil Retail India Ltd,105.0,1.71,3.83,2.63,2.35,135.0,-0.89
2010-10-27,Shah Metacorp Ltd,54.67,1.54,33.44,8.0,8.59,71.0,7.89
2010-12-15,Shipping Corporation of India Ltd,1164.73,4.19,3.67,6.56,4.92,140.0,-2.21
2011-10-20,Ujaas Energy Ltd,93.0,1.03,1.56,2.35,1.57,186.0,-3.23
2011-11-02,Indo Thai Securities Ltd,29.6,0.0,0.02,3.35,1.18,74.0,1.35
2012-05-09,Tribhovandas Bhimji Zaveri Ltd,200.0,1.29,1.91,0.68,1.15,120.0,-4.17
2014-02-28,Engineers India Ltd,498.13,23.43,5.85,2.99,13.36,150.0,-0.07
2014-05-09,Wonderla Holidays Ltd,181.25,16.71,159.04,7.55,38.06,125.0,31.8
2015-05-06,MEP Infrastructure Developers Ltd,324.0,1.02,1.51,0.97,1.11,63.0,0.0
2015-09-10,Shree Pushkar Chemicals Ltd,70.0,0.97,2.09,1.54,1.34,65.0,-7.69
2015-11-02,Coffee Day Enterprises Ltd,1150.0,,,,,328.0,-4.57
2015-11-10,Interglobe Aviation Ltd,3008.5,17.8,3.57,0.92,6.15,765.0,11.9
2015-12-23,Dr Lal Pathlabs Ltd,631.91,63.56,61.28,4.24,33.41,550.0,30.36
2016-04-21,Equitas Holdings Ltd,2176.69,14.93,57.29,1.4,17.21,110.0,30.91
2016-05-19,Parag Milk Foods Ltd,750.54,1.15,3.08,2.12,1.83,215.0,0.33
2016-08-12,S P Apparels Ltd,239.12,1.0,0.45,0.54,0.66,268.0,13.81
2016-11-07,PNB Housing Finance Ltd,3000.0,37.33,86.17,1.35,29.55,775.0,11.35
2017-05-09,S Chand & Company Ltd,728.6,44.27,204.65,6.07,59.49,670.0,5.52
2017-05-29,PSP Projects Ltd,211.68,8.38,10.39,6.47,8.58,210.0,-5.24
2017-06-27,Tejas Networks Ltd,776.69,2.16,0.48,3.1,1.88,257.0,0.0
2017-07-10,AU Small Finance Bank Ltd,1912.51,78.77,143.51,3.52,53.6,358.0,46.65
2017-10-16,Godrej Agrovet Ltd,1157.31,150.96,236.04,7.67,95.41,460.0,35.0
2017-12-29,Astron Paper & Board Mill Ltd,69.83,103.36,396.99,77.93,243.29,50.0,128.0
2018-04-02,Dharan Infra EPC Ltd,77.4,1.55,3.44,2.01,2.54,180.0,-24.44
2018-04-04,ICICI Securities Ltd,3514.85,1.04,0.36,0.88,0.78,520.0,-17.1
2018-07-02,Fine Organic Industries Ltd,600.17,12.86,21.01,1.62,8.99,783.0,4.09
2018-07-06,Varroc Engineering Ltd,1954.96,9.16,2.45,0.95,3.59,967.0,6.72
2018-08-23,CreditAccess Grameen Ltd,1131.19,5.52,0.98,0.88,2.22,422.0,-8.77
2019-04-16,Polycab India Ltd,1345.26,92.44,110.42,4.65,51.96,538.0,17.66
2019-12-12,Ujjivan Small Finance Bank Ltd,745.95,110.72,473.0,49.09,165.69,37.0,56.76
2019-12-30,Prince Pipes and Fittings Ltd,500.0,3.54,1.21,1.89,2.21,178.0,-10.11
2020-10-15,Likhitha Infrastructure Ltd,61.2,21.99,1.54,23.71,9.51,120.0,8.42
2021-03-15,MTAR Technologies Limited,596.41,164.99,650.79,28.4,200.79,575.0,85.03
2021-03-25,Craftsman Automation Limited,823.7,5.21,2.84,3.43,3.81,1490.0,-9.4
2021-03-25,Laxmi Organic Industries Limited,600.0,175.43,217.62,20.06,106.79,130.0,20.15
2021-05-14,Powergrid Infrastructure Investment Trust,7734.99,4.63,5.07,0.0,4.83,100.0,4.0
2021-06-28,Dodla Dairy Limited,520.18,84.88,73.26,11.33,45.61,428.0,23.36
2021-07-23,Eternal Limited,9375.0,51.79,32.96,7.45,38.25,76.0,51.32
2021-08-16,Devyani International Limited,1838.0,95.27,213.06,39.52,116.71,90.0,56.67
2021-08-24,Chemplast Sanmar Limited,3850.0,2.7,1.03,2.29,2.17,541.0,-2.96
2021-09-14,Vijaya Diagnostic Centre Limited,1894.26,13.07,1.32,1.09,4.54,531.0,2.13
2021-09-14,Acutaas Chemicals Limited,569.64,86.64,154.81,13.36,64.54,610.0,47.87
2021-11-18,Sapphire Foods India,2073.25,7.5,3.46,8.7,6.62,1180.0,11.1
2021-11-18,One97 Communications,18300.0,2.79,0.24,1.66,1.89,2150.0,-9.07
